chrom,start,end,ancestry,data_set
2,9680386,9688444,foreign,0
2,9688444,9731526,resident,0
2,9731526,9851298,foreign,0
2,9851298,9864945,resident,0
2,9864945,9969073,foreign,0
2,9969073,9972441,resident,0
2,9972441,9988200,foreign,0
2,9988200,10000000,resident,0
3,0,164454,resident,0
3,164454,164642,foreign,0
3,164642,288829,resident,0
3,288829,314689,foreign,0
3,314689,345917,resident,0
3,345917,462116,foreign,0
3,462116,530794,resident,0
3,530794,530912,foreign,0
3,530912,1164520,resident,0
3,1164520,1238907,foreign,0
3,1238907,1590752,resident,0
3,1590752,1703505,foreign,0
3,1703505,2107744,resident,0
3,2107744,2125514,foreign,0
3,2125514,2125919,resident,0
3,2125919,2247252,foreign,0
3,2247252,2311495,resident,0
3,2311495,2317368,foreign,0
3,2317368,2339421,resident,0
3,2339421,2386783,foreign,0
3,2386783,2422142,resident,0
3,2422142,2442238,foreign,0
3,2442238,2579924,resident,0
3,2579924,2583922,foreign,0
3,2583922,2741538,resident,0
3,2741538,2818187,foreign,0
3,2818187,2865125,resident,0
3,2865125,2870313,foreign,0
3,2870313,2917878,resident,0
3,2917878,2922721,foreign,0
3,2922721,3104749,resident,0
3,3104749,3117547,foreign,0
3,3117547,3155666,resident,0
3,3155666,3157381,foreign,0
3,3157381,3205099,resident,0
3,3205099,3231233,foreign,0
3,3231233,3418386,resident,0
3,3418386,3441362,foreign,0
3,3441362,3469440,resident,0
3,3469440,3522798,foreign,0
3,3522798,3609205,resident,0
3,3609205,3630586,foreign,0
3,3630586,3779663,resident,0
3,3779663,3918983,foreign,0
3,3918983,4001467,resident,0
3,4001467,4028318,foreign,0
3,4028318,4463951,resident,0
3,4463951,4675726,foreign,0
3,4675726,4824280,resident,0
3,4824280,5022630,foreign,0
3,5022630,5320229,resident,0
3,5320229,5437370,foreign,0
3,5437370,5474239,resident,0
3,5474239,5492557,foreign,0
3,5492557,6120268,resident,0
3,6120268,6164689,foreign,0
3,6164689,6287894,resident,0
3,6287894,6379770,foreign,0
3,6379770,6584577,resident,0
3,6584577,6606299,foreign,0
3,6606299,6652614,resident,0
3,6652614,6656389,foreign,0
3,6656389,6781796,resident,0
3,6781796,6892897,foreign,0
3,6892897,6998510,resident,0
3,6998510,7033840,foreign,0
3,7033840,7143477,resident,0
3,7143477,7146128,foreign,0
3,7146128,7206610,resident,0
3,7206610,7257900,foreign,0
3,7257900,7613675,resident,0
3,7613675,7656258,foreign,0
3,7656258,7694841,resident,0
3,7694841,7695803,foreign,0
3,7695803,8162777,resident,0
3,8162777,8193572,foreign,0
3,8193572,8204952,resident,0
3,8204952,8218680,foreign,0
3,8218680,8310433,resident,0
3,8310433,8381679,foreign,0
3,8381679,8569956,resident,0
3,8569956,8588438,foreign,0
3,8588438,8840756,resident,0
3,8840756,8883089,foreign,0
3,8883089,8899393,resident,0
3,8899393,8959864,foreign,0
3,8959864,9032307,resident,0
3,9032307,9037718,foreign,0
3,9037718,9059602,resident,0
3,9059602,9094807,foreign,0
3,9094807,9584197,resident,0
3,9584197,9609386,foreign,0
3,9609386,9802350,resident,0
3,9802350,9810506,foreign,0
3,9810506,9824242,resident,0
3,9824242,9898613,foreign,0
3,9898613,9989063,resident,0
3,9989063,9995830,foreign,0
3,9995830,10000000,resident,0
4,0,2055,resident,0
4,2055,32250,foreign,0
4,32250,43347,resident,0
4,43347,51598,foreign,0
4,51598,76360,resident,0
4,76360,196045,foreign,0
4,196045,481317,resident,0
4,481317,519045,foreign,0
4,519045,530794,resident,0
4,530794,563212,foreign,0
4,563212,594495,resident,0
4,594495,670082,foreign,0
4,670082,683861,resident,0
4,683861,908396,foreign,0
4,908396,1189092,resident,0
4,1189092,1214346,foreign,0
4,1214346,1215589,resident,0
4,1215589,1248199,foreign,0
4,1248199,1275430,resident,0
4,1275430,1324025,foreign,0
4,1324025,1361733,resident,0
4,1361733,1428298,foreign,0
4,1428298,1453941,resident,0
4,1453941,1467215,foreign,0
4,1467215,1620278,resident,0
4,1620278,1657732,foreign,0
4,1657732,1708473,resident,0
4,1708473,1762159,foreign,0
4,1762159,1772980,resident,0
4,1772980,1803406,foreign,0
4,1803406,1824589,resident,0
4,1824589,1989723,foreign,0
4,1989723,2176750,resident,0
4,2176750,2203206,foreign,0
4,2203206,2292174,resident,0
4,2292174,2354858,foreign,0
4,2354858,2844875,resident,0
4,2844875,2870313,foreign,0
4,2870313,2961756,resident,0
4,2961756,2964822,foreign,0
4,2964822,3016775,resident,0
4,3016775,3188714,foreign,0
4,3188714,3205099,resident,0
4,3205099,3231233,foreign,0
4,3231233,3412816,resident,0
4,3412816,3522798,foreign,0
4,3522798,3713047,resident,0
4,3713047,3718644,foreign,0
4,3718644,3739555,resident,0
4,3739555,3793610,foreign,0
4,3793610,3862126,resident,0
4,3862126,4315195,foreign,0
4,4315195,4543743,resident,0
4,4543743,4665586,foreign,0
4,4665586,5076373,resident,0
4,5076373,5199941,foreign,0
4,5199941,5234354,resident,0
4,5234354,5264092,foreign,0
4,5264092,5379030,resident,0
4,5379030,5397783,foreign,0
4,5397783,6020759,resident,0
4,6020759,6070448,foreign,0
4,6070448,6237500,resident,0
4,6237500,6238693,foreign,0
4,6238693,6449512,resident,0
4,6449512,6521869,foreign,0
4,6521869,6659340,resident,0
4,6659340,6694864,foreign,0
4,6694864,6722771,resident,0
4,6722771,6846352,foreign,0
4,6846352,7572638,resident,0
4,7572638,7685592,foreign,0
4,7685592,7705183,resident,0
4,7705183,7738508,foreign,0
4,7738508,7850951,resident,0
4,7850951,7901503,foreign,0
4,7901503,7975455,resident,0
4,7975455,8041010,foreign,0
4,8041010,8162777,resident,0
4,8162777,8209864,foreign,0
4,8209864,8260442,resident,0
4,8260442,8260848,foreign,0
4,8260848,8530389,resident,0
4,8530389,8536711,foreign,0
4,8536711,8563677,resident,0
4,8563677,8600153,foreign,0
4,8600153,8959884,resident,0
4,8959884,8970239,foreign,0
4,8970239,9264986,resident,0
4,9264986,9323377,foreign,0
4,9323377,9828134,resident,0
4,9828134,9851298,foreign,0
4,9851298,9989063,resident,0
4,9989063,10000000,foreign,0
5,0,2055,resident,0
5,2055,32250,foreign,0
5,32250,43347,resident,0
5,43347,51598,foreign,0
5,51598,76360,resident,0
5,76360,196045,foreign,0
5,196045,481317,resident,0
5,481317,519045,foreign,0
5,519045,530794,resident,0
5,530794,563212,foreign,0
5,563212,594495,resident,0
5,594495,670082,foreign,0
5,670082,683861,resident,0
5,683861,908396,foreign,0
5,908396,1189092,resident,0
5,1189092,1214346,foreign,0
5,1214346,1215589,resident,0
5,1215589,1248199,foreign,0
5,1248199,1275430,resident,0
5,1275430,1324025,foreign,0
5,1324025,1361733,resident,0
5,1361733,1428298,foreign,0
5,1428298,1453941,resident,0
5,1453941,1467215,foreign,0
5,1467215,1620278,resident,0
5,1620278,1657732,foreign,0
5,1657732,1708473,resident,0
5,1708473,1762159,foreign,0
5,1762159,1772980,resident,0
5,1772980,1803406,foreign,0
5,1803406,1824589,resident,0
5,1824589,1989723,foreign,0
5,1989723,2176750,resident,0
5,2176750,2203206,foreign,0
5,2203206,2292174,resident,0
5,2292174,2354858,foreign,0
5,2354858,2844875,resident,0
5,2844875,2870313,foreign,0
5,2870313,2961756,resident,0
5,2961756,2964822,foreign,0
5,2964822,3016775,resident,0
5,3016775,3188714,foreign,0
5,3188714,3205099,resident,0
5,3205099,3231233,foreign,0
5,3231233,3854496,resident,0
5,3854496,3930017,foreign,0
5,3930017,4505482,resident,0
5,4505482,4627505,foreign,0
5,4627505,5076373,resident,0
5,5076373,5199941,foreign,0
5,5199941,5234354,resident,0
5,5234354,5264092,foreign,0
5,5264092,5379030,resident,0
5,5379030,5397783,foreign,0
5,5397783,6020759,resident,0
5,6020759,6070448,foreign,0
5,6070448,6237500,resident,0
5,6237500,6238693,foreign,0
5,6238693,6449512,resident,0
5,6449512,6521869,foreign,0
5,6521869,6659340,resident,0
5,6659340,6694864,foreign,0
5,6694864,6722771,resident,0
5,6722771,6846352,foreign,0
5,6846352,7572638,resident,0
5,7572638,7685592,foreign,0
5,7685592,7705183,resident,0
5,7705183,7738508,foreign,0
5,7738508,7850951,resident,0
5,7850951,7901503,foreign,0
5,7901503,7975455,resident,0
5,7975455,8041010,foreign,0
5,8041010,8162777,resident,0
5,8162777,8209864,foreign,0
5,8209864,8260442,resident,0
5,8260442,8260848,foreign,0
5,8260848,8530389,resident,0
5,8530389,8536711,foreign,0
5,8536711,8563677,resident,0
5,8563677,8600153,foreign,0
5,8600153,8959884,resident,0
5,8959884,8970239,foreign,0
5,8970239,9264986,resident,0
5,9264986,9323377,foreign,0
5,9323377,9828134,resident,0
5,9828134,9851298,foreign,0
5,9851298,9989063,resident,0
5,9989063,10000000,foreign,0
6,0,68431,resident,0
6,68431,99157,foreign,0
6,99157,144753,resident,0
6,144753,206392,foreign,0
6,206392,265782,resident,0
6,265782,291016,foreign,0
6,291016,423836,resident,0
6,423836,438772,foreign,0
6,438772,898290,resident,0
6,898290,986689,foreign,0
6,986689,1174554,resident,0
6,1174554,1238907,foreign,0
6,1238907,1295757,resident,0
6,1295757,1353207,foreign,0
6,1353207,1796845,resident,0
6,1796845,1814293,foreign,0
6,1814293,1865677,resident,0
6,1865677,1968284,foreign,0
6,1968284,2112583,resident,0
6,2112583,2200247,foreign,0
6,2200247,2419335,resident,0
6,2419335,2442238,foreign,0
6,2442238,2741538,resident,0
6,2741538,2818187,foreign,0
6,2818187,2865125,resident,0
6,2865125,2870313,foreign,0
6,2870313,2917878,resident,0
6,2917878,2922721,foreign,0
6,2922721,3104749,resident,0
6,3104749,3117547,foreign,0
6,3117547,3466206,resident,0
6,3466206,3522798,foreign,0
6,3522798,3739555,resident,0
6,3739555,4315195,foreign,0
6,4315195,4543743,resident,0
6,4543743,4665586,foreign,0
6,4665586,5320229,resident,0
6,5320229,5437370,foreign,0
6,5437370,5785892,resident,0
6,5785892,5918263,foreign,0
6,5918263,6087755,resident,0
6,6087755,6132667,foreign,0
6,6132667,6699305,resident,0
6,6699305,6881264,foreign,0
6,6881264,7206610,resident,0
6,7206610,7233420,foreign,0
6,7233420,7625002,resident,0
6,7625002,7695803,foreign,0
6,7695803,7789553,resident,0
6,7789553,7820043,foreign,0
6,7820043,8004136,resident,0
6,8004136,8028824,foreign,0
6,8028824,8104444,resident,0
6,8104444,8112346,foreign,0
6,8112346,8130104,resident,0
6,8130104,8148333,foreign,0
6,8148333,8162777,resident,0
6,8162777,8249051,foreign,0
6,8249051,8536385,resident,0
6,8536385,8979511,foreign,0
6,8979511,9037966,resident,0
6,9037966,9053095,foreign,0
6,9053095,9779554,resident,0
6,9779554,9784920,foreign,0
6,9784920,9786799,resident,0
6,9786799,9792158,foreign,0
6,9792158,9824242,resident,0
6,9824242,9884981,foreign,0
6,9884981,9951096,resident,0
6,9951096,9994935,foreign,0
6,9994935,10000000,resident,0
7,0,160655,resident,0
7,160655,211318,foreign,0
7,211318,288829,resident,0
7,288829,314689,foreign,0
7,314689,345917,resident,0
7,345917,462116,foreign,0
7,462116,530794,resident,0
7,530794,530912,foreign,0
7,530912,759627,resident,0
7,759627,762561,foreign,0
7,762561,799778,resident,0
7,799778,828934,foreign,0
7,828934,869984,resident,0
7,869984,893179,foreign,0
7,893179,905697,resident,0
7,905697,920915,foreign,0
7,920915,1149074,resident,0
7,1149074,1192719,foreign,0
7,1192719,1218098,resident,0
7,1218098,1248199,foreign,0
7,1248199,1275430,resident,0
7,1275430,1421109,foreign,0
7,1421109,1472956,resident,0
7,1472956,1506073,foreign,0
7,1506073,1535571,resident,0
7,1535571,1539944,foreign,0
7,1539944,1588436,resident,0
7,1588436,1600205,foreign,0
7,1600205,2064573,resident,0
7,2064573,2098976,foreign,0
7,2098976,2340522,resident,0
7,2340522,2508319,foreign,0
7,2508319,2662540,resident,0
7,2662540,2781753,foreign,0
7,2781753,3591604,resident,0
7,3591604,3680187,foreign,0
7,3680187,3739555,resident,0
7,3739555,3921056,foreign,0
7,3921056,4013210,resident,0
7,4013210,4057849,foreign,0
7,4057849,4130841,resident,0
7,4130841,4243112,foreign,0
7,4243112,4424555,resident,0
7,4424555,4452021,foreign,0
7,4452021,4515725,resident,0
7,4515725,4634751,foreign,0
7,4634751,4635437,resident,0
7,4635437,4713114,foreign,0
7,4713114,4866696,resident,0
7,4866696,4911424,foreign,0
7,4911424,4922668,resident,0
7,4922668,4923776,foreign,0
7,4923776,5188933,resident,0
7,5188933,5264092,foreign,0
7,5264092,5291232,resident,0
7,5291232,5354959,foreign,0
7,5354959,5387047,resident,0
7,5387047,5406366,foreign,0
7,5406366,5494000,resident,0
7,5494000,5540729,foreign,0
7,5540729,5915100,resident,0
7,5915100,5963937,foreign,0
7,5963937,6383108,resident,0
7,6383108,6400188,foreign,0
7,6400188,6455737,resident,0
7,6455737,6499118,foreign,0
7,6499118,6784648,resident,0
7,6784648,6907725,foreign,0
7,6907725,6956378,resident,0
7,6956378,7069081,foreign,0
7,7069081,7155414,resident,0
7,7155414,7155709,foreign,0
7,7155709,7691600,resident,0
7,7691600,7711228,foreign,0
7,7711228,7789553,resident,0
7,7789553,7820043,foreign,0
7,7820043,8004136,resident,0
7,8004136,8028824,foreign,0
7,8028824,8083929,resident,0
7,8083929,8140730,foreign,0
7,8140730,8162777,resident,0
7,8162777,8198720,foreign,0
7,8198720,8563677,resident,0
7,8563677,8631159,foreign,0
7,8631159,8686976,resident,0
7,8686976,8702177,foreign,0
7,8702177,8764215,resident,0
7,8764215,8815669,foreign,0
7,8815669,8879960,resident,0
7,8879960,8970239,foreign,0
7,8970239,9059602,resident,0
7,9059602,9094807,foreign,0
7,9094807,9558118,resident,0
7,9558118,9609033,foreign,0
7,9609033,9613781,resident,0
7,9613781,9664184,foreign,0
7,9664184,9810176,resident,0
7,9810176,9921755,foreign,0
7,9921755,9922151,resident,0
7,9922151,9939735,foreign,0
7,9939735,9976577,resident,0
7,9976577,9994935,foreign,0
7,9994935,10000000,resident,0
8,0,160655,resident,0
8,160655,274389,foreign,0
8,274389,414186,resident,0
8,414186,462116,foreign,0
8,462116,530794,resident,0
8,530794,530912,foreign,0
8,530912,788119,resident,0
8,788119,794992,foreign,0
8,794992,833511,resident,0
8,833511,894499,foreign,0
8,894499,1196733,resident,0
8,1196733,1238907,foreign,0
8,1238907,1295757,resident,0
8,1295757,1315242,foreign,0
8,1315242,1437316,resident,0
8,1437316,1458159,foreign,0
8,1458159,1472956,resident,0
8,1472956,1479133,foreign,0
8,1479133,1482519,resident,0
8,1482519,1561092,foreign,0
8,1561092,2107744,resident,0
8,2107744,2133937,foreign,0
8,2133937,2336476,resident,0
8,2336476,2365192,foreign,0
8,2365192,2401319,resident,0
8,2401319,2615964,foreign,0
8,2615964,2654801,resident,0
8,2654801,2666544,foreign,0
8,2666544,2776736,resident,0
8,2776736,2818187,foreign,0
8,2818187,3001622,resident,0
8,3001622,3101598,foreign,0
8,3101598,3217999,resident,0
8,3217999,3224570,foreign,0
8,3224570,3807209,resident,0
8,3807209,3871149,foreign,0
8,3871149,3900253,resident,0
8,3900253,3981301,foreign,0
8,3981301,4043607,resident,0
8,4043607,4113110,foreign,0
8,4113110,4214805,resident,0
8,4214805,4274625,foreign,0
8,4274625,4537490,resident,0
8,4537490,4544534,foreign,0
8,4544534,4667479,resident,0
8,4667479,4705159,foreign,0
8,4705159,4838638,resident,0
8,4838638,4892237,foreign,0
8,4892237,5188933,resident,0
8,5188933,5264092,foreign,0
8,5264092,5379030,resident,0
8,5379030,5397783,foreign,0
8,5397783,6333826,resident,0
8,6333826,6497722,foreign,0
8,6497722,6661767,resident,0
8,6661767,6694864,foreign,0
8,6694864,6722771,resident,0
8,6722771,6751978,foreign,0
8,6751978,6758327,resident,0
8,6758327,6774071,foreign,0
8,6774071,6776216,resident,0
8,6776216,6907015,foreign,0
8,6907015,7277368,resident,0
8,7277368,7342958,foreign,0
8,7342958,7455359,resident,0
8,7455359,7459381,foreign,0
8,7459381,7725958,resident,0
8,7725958,7729412,foreign,0
8,7729412,7772578,resident,0
8,7772578,7791630,foreign,0
8,7791630,8004136,resident,0
8,8004136,8028824,foreign,0
8,8028824,8257199,resident,0
8,8257199,8315442,foreign,0
8,8315442,8396463,resident,0
8,8396463,8410186,foreign,0
8,8410186,8563677,resident,0
8,8563677,8631159,foreign,0
8,8631159,8847775,resident,0
8,8847775,8921539,foreign,0
8,8921539,8937844,resident,0
8,8937844,9016350,foreign,0
8,9016350,9032307,resident,0
8,9032307,9048937,foreign,0
8,9048937,9613781,resident,0
8,9613781,9672004,foreign,0
8,9672004,9760018,resident,0
8,9760018,9784920,foreign,0
8,9784920,9786799,resident,0
8,9786799,9792158,foreign,0
8,9792158,9824242,resident,0
8,9824242,9952672,foreign,0
8,9952672,9987283,resident,0
8,9987283,10000000,foreign,0
9,0,2055,resident,0
9,2055,32250,foreign,0
9,32250,43347,resident,0
9,43347,51598,foreign,0
9,51598,76360,resident,0
9,76360,196045,foreign,0
9,196045,481317,resident,0
9,481317,519045,foreign,0
9,519045,530794,resident,0
9,530794,563212,foreign,0
9,563212,594495,resident,0
9,594495,670082,foreign,0
9,670082,683861,resident,0
9,683861,908396,foreign,0
9,908396,1047348,resident,0
9,1047348,1049755,foreign,0
9,1049755,1460013,resident,0
9,1460013,1516755,foreign,0
9,1516755,1865677,resident,0
9,1865677,1968284,foreign,0
9,1968284,2571712,resident,0
9,2571712,2604830,foreign,0
9,2604830,2715403,resident,0
9,2715403,2776473,foreign,0
9,2776473,2844875,resident,0
9,2844875,2870313,foreign,0
9,2870313,2987061,resident,0
9,2987061,2988219,foreign,0
9,2988219,3040465,resident,0
9,3040465,3102642,foreign,0
9,3102642,3130770,resident,0
9,3130770,3159397,foreign,0
9,3159397,3468876,resident,0
9,3468876,3478342,foreign,0
9,3478342,3519364,resident,0
9,3519364,3521295,foreign,0
9,3521295,3607463,resident,0
9,3607463,3646548,foreign,0
9,3646548,3772247,resident,0
9,3772247,3907661,foreign,0
9,3907661,3916785,resident,0
9,3916785,3981301,foreign,0
9,3981301,4018976,resident,0
9,4018976,4034074,foreign,0
9,4034074,4130841,resident,0
9,4130841,4262747,foreign,0
9,4262747,4500564,resident,0
9,4500564,4512661,foreign,0
9,4512661,4556311,resident,0
9,4556311,4563415,foreign,0
9,4563415,4619688,resident,0
9,4619688,4624122,foreign,0
9,4624122,4629564,resident,0
9,4629564,4675726,foreign,0
9,4675726,4936083,resident,0
9,4936083,4941581,foreign,0
9,4941581,5104365,resident,0
9,5104365,5109890,foreign,0
9,5109890,5188933,resident,0
9,5188933,5257405,foreign,0
9,5257405,5536303,resident,0
9,5536303,5569229,foreign,0
9,5569229,5779690,resident,0
9,5779690,5820714,foreign,0
9,5820714,6025709,resident,0
9,6025709,6054773,foreign,0
9,6054773,6322196,resident,0
9,6322196,6379770,foreign,0
9,6379770,6499770,resident,0
9,6499770,6660989,foreign,0
9,6660989,6757781,resident,0
9,6757781,6870283,foreign,0
9,6870283,6982558,resident,0
9,6982558,7119761,foreign,0
9,7119761,7135719,resident,0
9,7135719,7155709,foreign,0
9,7155709,7313485,resident,0
9,7313485,7324921,foreign,0
9,7324921,7577955,resident,0
9,7577955,7596830,foreign,0
9,7596830,7694841,resident,0
9,7694841,7695803,foreign,0
9,7695803,7789553,resident,0
9,7789553,7820043,foreign,0
9,7820043,8083929,resident,0
9,8083929,8140730,foreign,0
9,8140730,8162777,resident,0
9,8162777,8209864,foreign,0
9,8209864,8281019,resident,0
9,8281019,8302073,foreign,0
9,8302073,8396463,resident,0
9,8396463,8410186,foreign,0
9,8410186,8530389,resident,0
9,8530389,8580786,foreign,0
9,8580786,8627703,resident,0
